latent_factor,scale,values,parents,local_conditional,primary_sources,downstream_modules,example_dependent_attributes,notes
SES,1-5 ordinal,1=very low; 2=low; 3=medium; 4=high; 5=very high,"[""country"", ""region_state"", ""education_level"", ""occupation_family"", ""income_bucket"", ""household_type""]","P(SES | country, region_state, education_level, occupation_family, income_bucket, household_type)",census/ACS/IPUMS/CPS income and education tables,"[""demographics"", ""income_finance"", ""education"", ""work_career"", ""shopping_commerce"", ""health""]","[""socioeconomic_band"", ""highest_education"", ""company_size"", ""economic_motivation"", ""habit_budget_tracking""]","Composite socioeconomic position; should be derived mostly from observed macro variables, not sampled independently."
life_stage,categorical/ordinal hybrid,student; early_career; family_building; midlife; empty_nester; retired,"[""age_bucket"", ""employment_status"", ""marital_status"", ""children_status"", ""household_type""]","P(life_stage | age_bucket, employment_status, marital_status, children_status, household_type)","census/ACS household, labor force, age tables","[""household_family"", ""work_career"", ""lifestyle"", ""shopping_commerce"", ""health""]","[""life_stage"", ""major_life_events"", ""lstyle_household_size"", ""lstyle_work_schedule"", ""time_pressure""]",Can map directly to schema life_stage while also conditioning behavior modules.
urban_lifestyle,1-5 ordinal,1=very rural/low-density; 3=mixed/suburban; 5=dense urban/high-access,"[""country"", ""region_state"", ""urbanicity"", ""income_bucket"", ""occupation_family""]","P(urban_lifestyle | country, region_state, urbanicity, income_bucket, occupation_family)","census/ACS urbanicity, commute, housing, occupation tables","[""geography"", ""lifestyle"", ""travel_mobility"", ""shopping_commerce"", ""media_culture""]","[""urbanicity"", ""topic_travel"", ""lstyle_work_schedule"", ""media_diet"", ""modality_pref""]","Captures access, density, commute, and urban consumption patterns beyond the raw urbanicity category."
digital_fluency,1-5 ordinal,1=very low; 2=low; 3=medium; 4=high; 5=very high,"[""age_bucket"", ""education_level"", ""occupation_family"", ""income_bucket"", ""urbanicity""]","P(digital_fluency | age_bucket, education_level, occupation_family, income_bucket, urbanicity)",NTIA/Eurostat/OECD digital access surveys + census covariates,"[""technology_digital"", ""shopping_commerce"", ""media_culture"", ""expertise_skills"", ""language_communication""]","[""tech_savviness"", ""tool_excel"", ""tool_python"", ""prefers_online_shopping"", ""uses_productivity_apps""]","Bridge variable for technology, online behavior, app adoption, and digital payment preferences."
price_sensitivity,1-5 ordinal,1=very price-insensitive; 3=balanced; 5=very price-sensitive,"[""income_bucket"", ""SES"", ""household_type"", ""children_status"", ""country""]","P(price_sensitivity | income_bucket, SES, household_type, children_status, country)","consumer expenditure surveys, finance surveys, inferred behavioral panels","[""shopping_commerce"", ""income_finance"", ""product_category_interests"", ""lifestyle""]","[""economic_motivation"", ""habit_budget_tracking"", ""val_wealth"", ""topic_personal_finance""]","Useful for shopping preferences, discount seeking, value orientation, and product substitution behavior."
risk_tolerance,1-5 ordinal,1=very risk-averse; 3=balanced; 5=very risk-seeking,"[""age_bucket"", ""income_bucket"", ""education_level"", ""occupation_family"", ""gender""]","P(risk_tolerance | age_bucket, income_bucket, education_level, occupation_family, gender)","DOSPERT-style surveys, finance surveys, GSS/WVS, model-derived fallback","[""risk_decision"", ""income_finance"", ""values_beliefs"", ""product_category_interests"", ""personality_psychometrics""]","[""risk_tolerance"", ""dospert_financial_risk_tolerance"", ""dospert_recreational_risk_tolerance"", ""decision_style""]",Use as a shared parent for risk dimensions rather than independently sampling each risk attribute.
novelty_seeking,1-5 ordinal,1=very low; 3=medium; 5=very high,"[""age_bucket"", ""education_level"", ""urbanicity"", ""digital_fluency"", ""country""]","P(novelty_seeking | age_bucket, education_level, urbanicity, digital_fluency, country)","psychometric surveys, consumer trend surveys, platform behavior, model-derived fallback","[""personality_psychometrics"", ""media_culture"", ""product_category_interests"", ""technology_digital"", ""shopping_commerce""]","[""big5_adventurousness"", ""values_priority"", ""tech_savviness"", ""topic_travel"", ""topic_gaming""]","Controls early adoption, exploratory interests, and preference for new products/media."
health_orientation,1-5 ordinal,1=very low; 3=medium; 5=very high,"[""age_bucket"", ""gender"", ""country"", ""income_bucket"", ""education_level""]","P(health_orientation | age_bucket, gender, country, income_bucket, education_level)","CDC/NHIS/BRFSS, WHO, national health surveys","[""health"", ""lifestyle"", ""product_category_interests"", ""values_beliefs""]","[""topic_fitness"", ""lstyle_exercise_freq"", ""lstyle_diet_type"", ""val_health"", ""health_general_health""]",Separates health-conscious behavior from actual health status; avoid inferring sensitive conditions without evidence.
family_responsibility,1-5 ordinal,1=very low; 3=medium; 5=very high,"[""age_bucket"", ""marital_status"", ""children_status"", ""household_type"", ""employment_status""]","P(family_responsibility | age_bucket, marital_status, children_status, household_type, employment_status)","census/ACS household composition, time-use surveys","[""household_family"", ""lifestyle"", ""shopping_commerce"", ""values_beliefs"", ""health""]","[""life_stage"", ""lstyle_household_size"", ""val_family"", ""schwartz_value_benevolence"", ""time_pressure""]",Captures caregiving/household responsibility without needing every family-related attribute to depend on every macro variable.
career_orientation,1-5 ordinal,1=very low; 3=medium; 5=very high,"[""age_bucket"", ""education_level"", ""employment_status"", ""occupation_family"", ""income_bucket""]","P(career_orientation | age_bucket, education_level, employment_status, occupation_family, income_bucket)","labor force surveys, career surveys, LinkedIn-like behavioral data fallback","[""work_career"", ""education"", ""expertise_skills"", ""values_beliefs"", ""lifestyle""]","[""seniority"", ""years_experience"", ""linkedin_activity"", ""research_output"", ""val_career_success""]","Shared factor for ambition, professional identity, upskilling, and work-centered time allocation."
social_orientation,1-5 ordinal,1=very private/low social; 3=moderate; 5=highly social/community-oriented,"[""age_bucket"", ""country"", ""urbanicity"", ""household_type"", ""digital_fluency""]","P(social_orientation | age_bucket, country, urbanicity, household_type, digital_fluency)",GSS/WVS/Pew/social media surveys/time-use surveys,"[""personality_psychometrics"", ""values_beliefs"", ""media_culture"", ""language_communication"", ""lifestyle""]","[""big5_gregariousness"", ""att_social_media"", ""val_community"", ""tone_expected"", ""media_diet""]",Can condition both offline community orientation and online social/media behavior.
environmental_consciousness,1-5 ordinal,1=very low; 3=medium; 5=very high,"[""country"", ""education_level"", ""age_bucket"", ""urbanicity"", ""income_bucket""]","P(environmental_consciousness | country, education_level, age_bucket, urbanicity, income_bucket)",WVS/Pew/environment surveys/national surveys,"[""values_beliefs"", ""shopping_commerce"", ""product_category_interests"", ""lifestyle""]","[""schwartz_value_universalism"", ""values_priority"", ""topic_environment"", ""att_sustainability""]","Conditions sustainability, climate, and eco-conscious consumption attributes."
brand_consciousness,1-5 ordinal,1=brand-indifferent; 3=moderate; 5=strongly brand-conscious,"[""income_bucket"", ""SES"", ""age_bucket"", ""urbanicity"", ""media_culture""]","P(brand_consciousness | income_bucket, SES, age_bucket, urbanicity, media_culture)","consumer surveys, marketing panels, platform behavior","[""shopping_commerce"", ""product_category_interests"", ""media_culture"", ""values_beliefs""]","[""att_brand_loyalty"", ""pref_quality_vs_quantity"", ""topic_fashion"", ""topic_technology""]","Useful for loyalty, premium preference, and brand/status signaling attributes."
time_scarcity,1-5 ordinal,1=very low; 3=medium; 5=very high,"[""employment_status"", ""occupation_family"", ""children_status"", ""household_type"", ""urban_lifestyle""]","P(time_scarcity | employment_status, occupation_family, children_status, household_type, urban_lifestyle)","ATUS/time-use surveys, labor surveys, commute data","[""lifestyle"", ""shopping_commerce"", ""technology_digital"", ""language_communication""]","[""time_pressure"", ""lstyle_work_schedule"", ""pref_convenience"", ""uses_productivity_apps"", ""tone_expected""]","Shared parent for convenience seeking, productivity tools, terse communication, and service preferences."
financial_security_orientation,1-5 ordinal,1=very low; 3=medium; 5=very high,"[""income_bucket"", ""SES"", ""age_bucket"", ""household_type"", ""children_status"", ""employment_status""]","P(financial_security_orientation | income_bucket, SES, age_bucket, household_type, children_status, employment_status)","consumer finance surveys, retirement/security surveys, CPS/ACS covariates","[""income_finance"", ""risk_decision"", ""values_beliefs"", ""shopping_commerce"", ""lifestyle""]","[""economic_motivation"", ""val_wealth"", ""risk_tolerance"", ""habit_budget_tracking"", ""values_priority""]",Captures security/savings/debt-aversion orientation distinct from current income.
