year,column,section,matched_qname,response_suffix,description
2025,LanguageChoice,Technology stack,LanguageChoice,,"Did you work with programming, scripting and markup languages in the last year or do you plan to in the year to come? Here, we are referring to anything you use that is conventionally referred to as code."
2025,LanguageHaveWorkedWith,Technology stack,Language,worked with in the past year,"Which programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2025,LanguageWantToWorkWith,Technology stack,Language,want to work with next year,"Which programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2025,LanguageAdmired,Technology stack,Language,admired technology,"Which programming, scripting, and markup languages have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the language and want to continue to do so, please check both boxes in that row.) | Response column: admired technology"
2025,LanguagesHaveEntry,Technology stack,LanguagesHaveEntry,,"Was the programming language you use not listed above? List below, separated by a comma and a space for each, the programming language(s) you used in the past year ."
2025,LanguagesWantEntry,Technology stack,LanguagesWantEntry,,"Was the programming language you want to use not listed above? List below, separated by a comma and a space for each, the programming language(s) you want to use next year ."
2025,DatabaseChoice,Technology stack,DatabaseChoice,,"Did you work with database environments in the last year or do you plan to in the year to come? Here, we are referring to a system of managing structured data, mostly outside of your local machine."
2025,DatabaseHaveWorkedWith,Technology stack,Database,worked with in the past year,"Which database environments have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2025,DatabaseWantToWorkWith,Technology stack,Database,want to work with next year,"Which database environments have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2025,DatabaseAdmired,Technology stack,Database,admired technology,"Which database environments have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the database and want to continue to do so, please check both boxes in that row.) | Response column: admired technology"
2025,DatabaseHaveEntry,Technology stack,DatabaseHaveEntry,,"Was the database environment you use not listed above? List below, separated by a comma and a space for each, what you used in the past year ."
2025,DatabaseWantEntry,Technology stack,DatabaseWantEntry,,"Was the database environment you want to use not listed above? List below, separated by a comma and a space for each, what you want to use next year ."
2025,PlatformChoice,Technology stack,PlatformChoice,,"Did you work with cloud platforms, containerization/orchestration tools, package managers, build tools or infrastructure as code solutions in the last year or do you plan to in the year to come? Here, we are referring to tooling that automates, manages, and scales the entire application lifecycle, often leveraging remote, virtualized resources."
2025,PlatformHaveWorkedWith,Technology stack,Platform,worked with in the past year,"Which cloud platforms, containerization/orchestration tools, package managers, build tools, and infrastructure as code solutions have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2025,PlatformWantToWorkWith,Technology stack,Platform,want to work with next year,"Which cloud platforms, containerization/orchestration tools, package managers, build tools, and infrastructure as code solutions have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2025,PlatformAdmired,Technology stack,Platform,admired technology,"Which cloud platforms, containerization/orchestration tools, package managers, build tools, and infrastructure as code solutions have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the platform and want to continue to do so, please check both boxes in that row.) | Response column: admired technology"
2025,PlatformHaveEntry,Technology stack,PlatformHaveEntry,,"Was the cloud platforms, containerization/orchestration tools, package managers, build tools, and infrastructure as code solutions you use not listed above? List below, separated by a comma and a space for each, what you used in the past year ."
2025,PlatformWantEntry,Technology stack,PlatformWantEntry,,"Was the cloud platforms, containerization/orchestration tools, package managers, build tools, and infrastructure as code solutions you want to use not listed above? List below, separated by a comma and a space for each, what you want to use next year ."
2025,WebframeChoice,Technology stack,WebframeChoice,,"Did you work with web frameworks and web technologies in the last year or do you plan to in the year to come? Here, we are referring to technology that helps website and web apps materialize."
2025,WebframeHaveWorkedWith,Technology stack,Webframe,worked with in the past year,"Which web frameworks and web technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: worked with in the past year"
2025,WebframeWantToWorkWith,Technology stack,Webframe,want to work with next year,"Which web frameworks and web technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: want to work with next year"
2025,WebframeAdmired,Technology stack,Webframe,admired technology,"Which web frameworks and web technologies have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.) | Response column: admired technology"
2025,WebframeHaveEntry,Technology stack,WebframeHaveEntry,,"Were the web frameworks and web technologies you use not listed above? List below, separated by a comma and a space for each, what you used in the past year ."
2025,WebframeWantEntry,Technology stack,WebframeWantEntry,,"Were the web frameworks and web technologies you want to use not listed above? List below, separated by a comma and a space for each, the what you want to use next year ."
2025,DevEnvsChoice,Technology stack,DevEnvsChoice,,"Did you work with development environments or AI-enabled code editing tools in the last year or do you plan to in the year to come? Here, we are referring to programs like VS Code that allow you to write, edit and save code easily and help you share code with other developers or AI agents."
2025,DevEnvsHaveWorkedWith,Technology stack,DevEnvs,worked with in the past year,"Which development environments and AI-enabled code editing tools did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply. | Response column: worked with in the past year"
2025,DevEnvsWantToWorkWith,Technology stack,DevEnvs,want to work with next year,"Which development environments and AI-enabled code editing tools did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply. | Response column: want to work with next year"
2025,DevEnvsAdmired,Technology stack,DevEnvs,admired technology,"Which development environments and AI-enabled code editing tools did you use regularly over the past year, and which do you want to work with over the next year? Please check all that apply. | Response column: admired technology"
2025,DevEnvHaveEntry,Other survey answers,DevEnvHaveEntry,,"Was the developer environment or AI-enabled code editing tool you use not listed above? List below, separated by a comma and a space for each, what you used in the past year ."
2025,DevEnvWantEntry,Other survey answers,DevEnvWantEntry,,"Was the developer environment or AI-enabled code editing tool you want to use not listed above? List below, separated by a comma and a space for each, what you want to use next year ."
2025,SOTagsHaveWorkedWith,Technology stack,SOTags,worked with in the past year,"Which rising technology of the added as new tag or tag subject area on Stack Overflow in the last three years have you used regularly in the past year, and which do you want to work with over the next year? Please check all that apply. | Response column: worked with in the past year"
2025,SOTagsWantToWorkWith,Technology stack,SOTags,want to work with next year,"Which rising technology of the added as new tag or tag subject area on Stack Overflow in the last three years have you used regularly in the past year, and which do you want to work with over the next year? Please check all that apply. | Response column: want to work with next year"
2025,SOTagsAdmired,Technology stack,SOTags,admired technology,"Which rising technology of the added as new tag or tag subject area on Stack Overflow in the last three years have you used regularly in the past year, and which do you want to work with over the next year? Please check all that apply. | Response column: admired technology"
2025,SOTagsHaveEntry,Technology stack,SOTagsHaveEntry,,"Was the new tag on Stack Overflow (i.e. added in the last 2 - 3 years) you use not listed above? List below, separated by a comma and a space for each, what you used in the past year ."
2025,SOTagsWant Entry,Technology stack,SOTagsWant Entry,,"Was the new tag on Stack Overflow (i.e. added in the last 2 - 3 years) you want to use not listed above? List below, separated by a comma and a space for each, what you want to use next year ."
2025,OpSysPersonal use,Technology stack,OpSys,personal use,What is the primary operating system in which you work? | Response column: personal use
2025,OpSysProfessional use,Technology stack,OpSys,professional use,What is the primary operating system in which you work? | Response column: professional use
2025,OfficeStackAsyncHaveWorkedWith,Technology stack,OfficeStackAsync,worked with in the past year,"Which collaborative work management and/or code documentation tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: worked with in the past year"
2025,OfficeStackAsyncWantToWorkWith,Technology stack,OfficeStackAsync,want to work with next year,"Which collaborative work management and/or code documentation tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: want to work with next year"
2025,OfficeStackAsyncAdmired,Technology stack,OfficeStackAsync,admired technology,"Which collaborative work management and/or code documentation tools did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply | Response column: admired technology"
2025,OfficeStackHaveEntry,Technology stack,OfficeStackHaveEntry,,"Was the collaborative work management and/or code documentation tools you use not listed above? List below, separated by a comma and a space for each, what you used in the past year."
2025,OfficeStackWantEntry,Technology stack,OfficeStackWantEntry,,"Was the collaborative work management and/or code documentation tools you want to use not listed above? List below, separated by a comma and a space for each, what you used in the past year."
2025,CommPlatformHaveWorkedWith,Technology stack,CommPlatform,worked with in the past year,"Which community platforms have you utilized considerably or consistently in the past year, and which would you like to use next year? Select all that apply. | Response column: worked with in the past year"
2025,CommPlatformWantToWorkWith,Technology stack,CommPlatform,want to work with next year,"Which community platforms have you utilized considerably or consistently in the past year, and which would you like to use next year? Select all that apply. | Response column: want to work with next year"
2025,CommPlatformAdmired,Technology stack,CommPlatform,admired technology,"Which community platforms have you utilized considerably or consistently in the past year, and which would you like to use next year? Select all that apply. | Response column: admired technology"
2025,CommPlatformHaveEntr,Technology stack,CommPlatformHaveEntr,,"Was the community platform you use not listed above? List below, separated by a comma and a space for each, what you used in the past year."
2025,CommPlatformWantEntr,Technology stack,CommPlatformWantEntr,,"Was the community platform you want to use not listed above? List below, separated by a comma and a space for each, what you used in the past year."
2025,AIModelsChoice,AI usage and attitudes,AIModelsChoice,,"Did you utilize or integrate specific Large Language Models (LLMs) to power your development tools or applications in the last year? Here, we are referring to models like GPT-4, Llama, Claude, etc., within your development environments or solutions."
2025,AIModelsHaveWorkedWith,AI usage and attitudes,AIModels,worked with in the past year,"Which LLM models for AI tools have you used for development work in the past year, and which would you like to use next year? Select all that apply. | Response column: worked with in the past year"
2025,AIModelsWantToWorkWith,AI usage and attitudes,AIModels,want to work with next year,"Which LLM models for AI tools have you used for development work in the past year, and which would you like to use next year? Select all that apply. | Response column: want to work with next year"
2025,AIModelsAdmired,AI usage and attitudes,AIModels,admired technology,"Which LLM models for AI tools have you used for development work in the past year, and which would you like to use next year? Select all that apply. | Response column: admired technology"
2025,AIModelsHaveEntry,AI usage and attitudes,AIModelsHaveEntry,,"Was the LLM model for AI tools you use not listed above? List below, separated by a comma and a space for each, what you used in the past year ."
2025,AIModelsWantEntry,AI usage and attitudes,AIModelsWantEntry,,"Was the LLM model for AI tools you want to use not listed above? List below, separated by a comma and a space for each, what you want to use next year ."
2025,SOAccount,Stack Overflow community,SOAccount,,Do you have a Stack Overflow account?
2025,SOVisitFreq,Stack Overflow community,SOVisitFreq,,How frequently would you say you visit Stack Overflow?
2025,SODuration,Stack Overflow community,SODuration,,How long have you used Stack Overflow?
2025,SOPartFreq,Stack Overflow community,SOPartFreq,,"How frequently would you say you participate in Q&A on Stack Overflow? By participate we mean ask, answer, and vote or comment on questions."
2025,SO_Dev_Content,Stack Overflow community,SO_Dev_Content,,"Whether it be to solve a problem, for career growth or connecting with a community of developers, is there an alternative to the Q&A format you prefer using today or would like to see on Stack Overflow to get what you need? Select all that apply."
2025,SO_Actions_1,Stack Overflow community,SO_Actions_1,,"When visiting Stack Overflow, which following activities are you most interested in? Please rank the following so the first activity is what most interests you and last is your least interested activity. | Sub-item: Browse content related to Q&A posts I recently viewed"
2025,SO_Actions_16,Stack Overflow community,SO_Actions_16,,"When visiting Stack Overflow, which following activities are you most interested in? Please rank the following so the first activity is what most interests you and last is your least interested activity. | Sub-item: Read and/or vote on comments for a Question or Answer I am interested in"
2025,SO_Actions_3,Stack Overflow community,SO_Actions_3,,"When visiting Stack Overflow, which following activities are you most interested in? Please rank the following so the first activity is what most interests you and last is your least interested activity. | Sub-item: Bookmark posts to look at later"
2025,SO_Actions_4,Stack Overflow community,SO_Actions_4,,"When visiting Stack Overflow, which following activities are you most interested in? Please rank the following so the first activity is what most interests you and last is your least interested activity. | Sub-item: Directly open a Q&A post via search, documentation or a peer"
2025,SO_Actions_5,Stack Overflow community,SO_Actions_5,,"When visiting Stack Overflow, which following activities are you most interested in? Please rank the following so the first activity is what most interests you and last is your least interested activity. | Sub-item: Ask a question"
2025,SO_Actions_6,Stack Overflow community,SO_Actions_6,,"When visiting Stack Overflow, which following activities are you most interested in? Please rank the following so the first activity is what most interests you and last is your least interested activity. | Sub-item: Answer a question"
2025,SO_Actions_9,Stack Overflow community,SO_Actions_9,,"When visiting Stack Overflow, which following activities are you most interested in? Please rank the following so the first activity is what most interests you and last is your least interested activity. | Sub-item: Comment on Q&A posts"
2025,SO_Actions_7,Stack Overflow community,SO_Actions_7,,"When visiting Stack Overflow, which following activities are you most interested in? Please rank the following so the first activity is what most interests you and last is your least interested activity. | Sub-item: Upvote/Downvote Q&A posts"
2025,SO_Actions_10,Stack Overflow community,SO_Actions_10,,"When visiting Stack Overflow, which following activities are you most interested in? Please rank the following so the first activity is what most interests you and last is your least interested activity. | Sub-item: Use discussion or chat feature"
2025,SO_Actions_15,Stack Overflow community,SO_Actions_15,,"When visiting Stack Overflow, which following activities are you most interested in? Please rank the following so the first activity is what most interests you and last is your least interested activity. | Sub-item: Other (write in):"
2025,SO_Actions_15_TEXT,Stack Overflow community,SO_Actions_15_TEXT,,"When visiting Stack Overflow, which following activities are you most interested in? Please rank the following so the first activity is what most interests you and last is your least interested activity. | Sub-item: Other (write in): - Text"
2025,SOComm,Stack Overflow community,SOComm,,Do you consider yourself a member of the Stack Overflow community?
2025,SOFriction,Stack Overflow community,SOFriction,,"When you visit Stack Overflow, how often is it a result of encountering issues from AI or AI-enabled tools that require extra time or effort to fix, understand, or debug?"
2025,AISelect,AI usage and attitudes,AISelect,,Do you currently use AI tools in your development process?
2025,AISent,AI usage and attitudes,AISent,,How favorable is your stance on using AI tools as part of your development workflow?
2025,AIAcc,AI usage and attitudes,AIAcc,,How much do you trust the accuracy of the output from AI tools as part of your development workflow?
2025,AIComplex,AI usage and attitudes,AIComplex,,How well do the AI tools you use in your development workflow handle complex tasks?
2025,AIToolCurrently partially AI,AI usage and attitudes,AITool,Currently partially AI,Which parts of your development workflow are you currently integrating into AI or using AI tools to accomplish or plan to use AI to accomplish over the next 3 - 5 years? Please select one for each scenario. | Response column: Currently partially AI
2025,AIToolDon't plan to use AI for this task,AI usage and attitudes,AITool,Don't plan to use AI for this task,Which parts of your development workflow are you currently integrating into AI or using AI tools to accomplish or plan to use AI to accomplish over the next 3 - 5 years? Please select one for each scenario. | Response column: Don't plan to use AI for this task
2025,AIToolPlan to partially use AI,AI usage and attitudes,AITool,Plan to partially use AI,Which parts of your development workflow are you currently integrating into AI or using AI tools to accomplish or plan to use AI to accomplish over the next 3 - 5 years? Please select one for each scenario. | Response column: Plan to partially use AI
2025,AIToolPlan to mostly use AI,AI usage and attitudes,AITool,Plan to mostly use AI,Which parts of your development workflow are you currently integrating into AI or using AI tools to accomplish or plan to use AI to accomplish over the next 3 - 5 years? Please select one for each scenario. | Response column: Plan to mostly use AI
2025,AIToolCurrently mostly AI,AI usage and attitudes,AITool,Currently mostly AI,Which parts of your development workflow are you currently integrating into AI or using AI tools to accomplish or plan to use AI to accomplish over the next 3 - 5 years? Please select one for each scenario. | Response column: Currently mostly AI
2025,AIFrustration,AI usage and attitudes,AIFrustration,,"When using AI tools, which of the following problems or frustrations have you encountered? Select all that apply."
2025,AIExplain,AI usage and attitudes,AIExplain,,"In your own words, is ""vibe coding"" part of your professional development work? For this question, we define vibe coding according to the Wikipedia definition , the process of generating software from LLM prompts."
2025,AIAgents,AI usage and attitudes,AIAgents,,Are you using AI agents in your work (development or otherwise)? AI agents refer to autonomous software entities that can operate with minimal to no direct human intervention using artificial intelligence techniques.
2025,AIAgentChange,AI usage and attitudes,AIAgentChange,,Have AI tools or AI agents changed how you complete development work in the past year?
2025,AIAgent_Uses,AI usage and attitudes,AIAgent_Uses,,What industry purposes or specific tasks are you using AI agents in your development work? Select all that apply from both lists.
2025,AgentUsesGeneral,Background,Age,nt Uses General,What is your age? | Response column: nt Uses General
2025,AIAgentImpactSomewhat agree,AI usage and attitudes,AIAgentImpact,Somewhat agree,To what extent do you agree with the following statements regarding the impact of AI agents on your work as a developer? | Response column: Somewhat agree
2025,AIAgentImpactNeutral,AI usage and attitudes,AIAgentImpact,Neutral,To what extent do you agree with the following statements regarding the impact of AI agents on your work as a developer? | Response column: Neutral
2025,AIAgentImpactSomewhat disagree,AI usage and attitudes,AIAgentImpact,Somewhat disagree,To what extent do you agree with the following statements regarding the impact of AI agents on your work as a developer? | Response column: Somewhat disagree
2025,AIAgentImpactStrongly agree,AI usage and attitudes,AIAgentImpact,Strongly agree,To what extent do you agree with the following statements regarding the impact of AI agents on your work as a developer? | Response column: Strongly agree
2025,AIAgentImpactStrongly disagree,AI usage and attitudes,AIAgentImpact,Strongly disagree,To what extent do you agree with the following statements regarding the impact of AI agents on your work as a developer? | Response column: Strongly disagree
2025,AIAgentChallengesNeutral,AI usage and attitudes,AIAgentChallenges,Neutral,To what extent do you agree with the following statements regarding AI agents? | Response column: Neutral
2025,AIAgentChallengesSomewhat disagree,AI usage and attitudes,AIAgentChallenges,Somewhat disagree,To what extent do you agree with the following statements regarding AI agents? | Response column: Somewhat disagree
2025,AIAgentChallengesStrongly agree,AI usage and attitudes,AIAgentChallenges,Strongly agree,To what extent do you agree with the following statements regarding AI agents? | Response column: Strongly agree
2025,AIAgentChallengesSomewhat agree,AI usage and attitudes,AIAgentChallenges,Somewhat agree,To what extent do you agree with the following statements regarding AI agents? | Response column: Somewhat agree
2025,AIAgentChallengesStrongly disagree,AI usage and attitudes,AIAgentChallenges,Strongly disagree,To what extent do you agree with the following statements regarding AI agents? | Response column: Strongly disagree
2025,AIAgentKnowledge,AI usage and attitudes,AIAgentKnowledge,,You indicated you use or develop AI agents as part of your development work. Have you used any of the following tools for AI agent memory or data management in the past year?
2025,AIAgentKnowWrite,AI usage and attitudes,AIAgentKnowWrite,,Was the tool or tools for AI agent orchestration or agent frameworks you used in the past year not listed above? Please write them below separated by a comma and space if there are more than one.
2025,AIAgentOrchestration,AI usage and attitudes,AIAgentOrchestration,,You indicated you use or develop AI agents as part of your development work. Have you used any of the following tools for AI agent orchestration or agent frameworks in the past year?
2025,AIAgentOrchWrite,AI usage and attitudes,AIAgentOrchWrite,,Was the tool or tools for AI agent orchestration or agent frameworks you used in the past year not listed above? Please write them below separated by a comma and space if there are more than one.
2025,AIAgentObserveSecure,AI usage and attitudes,AIAgentObserveSecure,,"You indicated you use or develop AI agents as part of your development work. Have you used any of the following tools for AI agent observability, monitoring or security in the past year?"
2025,AIAgentObsWrite,AI usage and attitudes,AIAgentObsWrite,,"Was the tool or tools for AI agent observability, monitoring or security you used in the past year not listed above? Please write them below separated by a comma and space if there are more than one."
2025,AIAgentExternal,AI usage and attitudes,AIAgentExternal,,"You indicated you use or develop AI agents as part of your development work. Have you used any of the following out-of-the-box agents, copilots or assistants?"
2025,AIAgentExtWrite,AI usage and attitudes,AIAgentExtWrite,,"Was the out-of-the-box agents, copilots or assistants you used in the past year not listed above? Please write them below separated by a comma and space if there are more than one."
2025,AIHuman,AI usage and attitudes,AIHuman,,"In the future, if AI can do most coding tasks, in which situations would you still want to ask another person for help? Select all that apply."
2025,AIOpen,AI usage and attitudes,AIOpen,,"Looking ahead 3–5 years, what skills do you believe will remain valuable for developers even as AI tools become more capable? Please describe."
2025,ConvertedCompYearly,Other survey answers,,,ConvertedCompYearly
2025,JobSat,Work and career,JobSat,,How satisfied are you in your current professional developer role?
2025,completeness,Other survey answers,,,completeness
